primaryTitle,genres,startYear
Bhakta Vidur,Drama,1922
The Kid,"Comedy,Drama,Family",1921
Sadhu Aur Shaitan,Comedy,1922
The Hunchback of Notre Dame,"Drama,Horror,Romance",1923
Sherlock Jr.,"Action,Comedy,Romance",1924
The Gold Rush,"Adventure,Comedy,Drama",1925
The Lodger: A Story of the London Fog,"Crime,Drama,Mystery",1927
Metropolis,"Drama,Sci-Fi",1927
The Circus,"Comedy,Family,Romance",1928
The Clue of the New Pin,"Crime,Mystery",1929
All Quiet on the Western Front,"Drama,War",1930
Hit the Deck,"Comedy,Musical,Romance",1929
Rain or Shine,"Comedy,Drama,Romance",1930
City Lights,"Comedy,Drama,Romance",1931
Frankenstein,"Drama,Horror,Sci-Fi",1931
A Free Soul,"Crime,Drama,Romance",1931
M,"Crime,Mystery,Thriller",1931
Platinum Blonde,"Comedy,Romance",1931
Scarface,"Action,Crime,Drama",1932
Shopworn,"Drama,Romance",1932
Tarzan the Ape Man,"Action,Adventure,Romance",1932
The Ghoul,"Action,Drama,Horror",1933
Little Women,"Drama,Family,Romance",1933
Oliver Twist,"Drama,Family,Mystery",1933
The Story of Temple Drake,"Crime,Drama",1933
A Man's Head,"Crime,Mystery,Thriller",1933
It Happened One Night,"Comedy,Romance",1934
High School Girl,Drama,1934
Cain and Mabel,"Comedy,Musical,Mystery",1936
Jeevan Naya,Drama,1936
Modern Times,"Comedy,Drama,Romance",1936
Sabotage,"Crime,Thriller",1936
The Story of Louis Pasteur,"Biography,Drama,History",1936
Captains Courageous,"Adventure,Drama,Family",1937
Snow White and the Seven Dwarfs,"Adventure,Animation,Family",1937
The Amazing Dr. Clitterhouse,"Crime,Drama",1938
Angels with Dirty Faces,"Crime,Drama,Film-Noir",1938
The Dybbuk,"Drama,Fantasy,Musical",1937
Santa Fe Stampede,"Drama,Western",1938
You Can't Take It with You,"Comedy,Drama,Romance",1938
Gone with the Wind,"Drama,Romance,War",1939
"Goodbye, Mr. Chips","Drama,Romance",1939
The Hound of the Baskervilles,"Crime,Mystery,Thriller",1939
The Wizard of Oz,"Adventure,Family,Fantasy",1939
Wuthering Heights,"Drama,Romance",1939
The Great Dictator,"Comedy,Drama,War",1940
Pinocchio,"Adventure,Animation,Comedy",1940
Rebecca,"Drama,Mystery,Romance",1940
Second Chorus,"Comedy,Musical,Romance",1940
The Thief of Bagdad,"Adventure,Family,Fantasy",1940
Waterloo Bridge,"Drama,Romance,War",1940
Citizen Kane,"Drama,Mystery",1941
Hold That Ghost,"Comedy,Crime,Horror",1941
Arabian Nights,"Action,Adventure,Comedy",1942
Arzoo,\N,1942
Bambi,"Adventure,Animation,Drama",1942
Casablanca,"Drama,Romance,War",1942
Why We Fight,"Documentary,War",1942
The Gentle Sex,"Comedy,Drama,Romance",1943
